repo,rama_por_defecto,ultimo_commit,dias_sin_commits,commits_30d,commits_90d,commits_365d,autores_distintos,commits_muestreados,ficheros_en_HEAD,tiene_LICENSE,workflows_CI,ficheros_test,tiene_SECURITY_md
microsoft/graphrag,main,2026-08-24,0,13,26,95,8,100,908,1,12,187,1
microsoft/markitdown,main,2026-08-19,5,3,7,37,41,100,165,1,2,85,1
microsoft/playwright-mcp,main,2026-08-19,5,8,22,100,16,100,35,1,2,10,1
microsoft/vscode-copilot-chat,main,2026-05-20,97,0,0,100,29,100,4451,1,4,2556,1
ml-tooling/best-of-generator,main,2025-08-31,359,0,0,3,12,170,98,1,4,2,0
ml-tooling/best-of-ml-python,main,2026-03-22,156,0,0,25,19,185,438,1,1,0,0
mlflow/mlflow,master,2026-08-26,0,100,100,100,30,100,9430,1,89,1379,1
modelcontextprotocol/inspector,main,2026-08-19,6,338,596,1058,123,1802,1121,0,2,249,1
modelcontextprotocol/modelcontextprotocol,main,2026-08-23,2,187,524,2334,245,2455,947,1,13,7,1
modelcontextprotocol/python-sdk,main,2026-08-25,0,43,100,100,8,100,1665,1,10,275,1
modelcontextprotocol/registry,main,2026-08-21,4,30,65,100,17,100,255,1,10,4,1
modelcontextprotocol/servers,main,2026-08-18,6,21,54,781,684,2267,145,1,5,20,1
modelcontextprotocol/typescript-sdk,main,2026-08-25,0,16,100,100,12,100,1123,1,8,498,1
msoedov/agentic_security,main,2026-08-18,6,15,56,118,27,297,207,1,4,50,1
mufeedvh/code2prompt,main,2026-06-18,68,0,50,279,22,430,349,1,3,23,0
musistudio/claude-code-router,main,2026-08-25,0,154,458,463,26,463,788,1,3,138,0
neo4j-contrib/mcp-neo4j,main,2026-04-10,136,0,0,103,16,103,131,1,13,33,1
obra/skills,,CLONE_FAILED,,,,,,,,,
obra/superpowers,main,2026-08-12,12,2,100,100,7,100,195,1,0,60,0
open-edison/open-edison,,CLONE_FAILED,,,,,,,,,
open-telemetry/semantic-conventions,main,2026-08-24,1,48,100,100,24,100,729,1,19,1,0
openai/codex,main,2026-08-25,0,100,100,100,33,100,6594,1,30,706,1
openai/whisper,main,2026-07-28,27,2,2,4,49,100,45,1,2,7,0
opendatalab/MinerU,master,2026-08-14,11,6,188,1037,15,1037,427,1,5,6,1
oraios/serena,main,2026-08-20,5,117,333,423,52,423,1051,1,8,704,0
ossf/scorecard,main,2026-08-15,10,12,13,100,20,100,1158,1,14,1,1
pgvector/pgvector,master,2026-08-19,5,100,100,100,3,100,158,1,1,78,0
pre-commit/pre-commit,main,2026-08-17,7,5,18,90,14,198,203,1,2,59,0
promptfoo/promptfoo,main,2026-08-25,0,100,100,100,8,100,5529,1,12,1132,1
protectai/llm-guard,main,2026-07-09,47,0,1,2,16,113,320,1,4,43,1
protectai/rebuff,main,2024-01-25,942,0,0,0,14,214,121,1,4,11,0
protectai/vulnhuntr,main,2025-02-06,564,0,0,0,7,46,15,1,0,0,0
punkpeye/awesome-mcp-clients,main,2026-06-07,78,0,2,106,93,288,147,1,0,0,0
punkpeye/awesome-mcp-servers,main,2026-08-17,7,159,2648,6843,2892,9009,11,1,1,0,0
punkpeye/fastmcp,main,2026-08-20,4,45,70,121,46,121,109,1,2,0,0
pydantic/pydantic-ai,main,2026-08-25,0,100,100,100,22,100,2559,1,65,1707,0
qdrant/qdrant,master,2026-08-04,21,100,100,100,15,100,2244,1,18,370,0
redis/agent-memory-server,main,2026-08-18,6,2,34,100,13,100,323,1,7,86,0
riseandignite/mcp-shield,master,2025-04-26,486,0,0,0,1,15,17,1,0,0,0
run-llama/llama_index,main,2026-08-20,5,32,94,100,63,100,10029,1,14,1675,1
ruvnet/claude-flow,main,2026-08-24,0,118,118,118,7,118,5607,1,28,601,1
ryoppippi/ccusage,main,2026-08-24,0,100,100,100,3,100,443,1,9,9,0
safedep/vet,main,2026-08-25,0,32,56,231,23,231,822,1,12,32,0
sammcj/mcp-package-docs,main,2025-07-18,403,0,0,0,4,63,29,1,1,0,0
semgrep/semgrep,develop,2026-08-20,4,36,100,100,21,100,10064,1,35,8260,1
sharkdp/fd,master,2026-08-09,16,18,69,299,56,505,59,2,1,2,1
simonw/files-to-prompt,main,2025-02-18,552,0,0,0,8,34,10,1,2,1,0
simonw/llm,main,2026-08-22,2,147,179,179,14,179,116,1,4,44,0
slowmist/MCP-Security-Checklist,main,2025-04-28,484,0,0,0,1,15,9,1,0,0,0
smithery-ai/cli,main,2026-05-31,86,0,4,100,5,100,163,1,2,60,0
sooperset/mcp-atlassian,main,2026-08-25,0,26,100,100,49,100,418,1,7,178,1
sst/opencode,dev,2026-08-25,0,107,107,107,17,107,6528,1,25,661,1
stanford-oval/storm,main,2025-09-30,328,0,0,2,29,238,74,1,2,0,0
stanfordnlp/dspy,main,2026-08-24,1,65,100,100,20,100,567,1,6,136,1
steipete/agent-rules,main,2026-04-27,120,0,0,8,2,44,48,1,0,0,0
stravu/crystal,main,2026-02-26,179,0,0,100,4,100,401,1,4,9,0
supermemoryai/supermemory,main,2026-08-25,0,75,100,100,23,100,1156,1,11,74,0
tadata-org/fastapi_mcp,main,2025-08-10,380,0,0,0,19,250,84,1,2,17,0
tolkonepiu/best-of-mcp-servers,main,2026-08-19,6,10,35,154,10,169,127,1,2,0,0
topoteretes/cognee,main,2026-08-24,1,667,2047,5995,267,6032,3150,2,53,750,1
traceloop/openllmetry,main,2026-08-10,15,4,20,100,18,100,1709,1,2,1051,1
trufflesecurity/trufflehog,main,2026-08-25,0,48,100,100,30,100,3491,1,12,3,1
trycua/cua,main,2026-08-24,0,100,100,100,10,100,4257,1,102,407,1
twpayne/chezmoi,master,2026-08-23,2,51,100,100,7,100,1012,1,7,0,1
unclecode/crawl4ai,main,2026-07-15,41,0,74,426,59,1020,916,1,9,247,1
upstash/context7,master,2026-08-24,1,33,100,100,15,100,410,1,6,20,1
vercel/skills,,CLONE_FAILED,,,,,,,,,
wong2/awesome-mcp-servers,main,2026-07-13,43,0,11,101,66,101,6,1,1,0,0
wshobson/agents,main,2026-08-23,1,29,119,214,34,214,1157,1,5,37,0
wshobson/commands,main,2025-10-11,317,0,0,10,3,29,69,1,0,0,0
yamadashy/repomix,main,2026-08-23,2,116,482,509,16,509,1186,1,19,188,1
yt-dlp/yt-dlp,master,2026-08-25,0,37,100,100,23,100,1239,1,13,84,0
zebbern/claude-code-guide,main,2026-08-25,0,30,78,111,2,111,402,1,1,0,0
zilliztech/claude-context,master,2026-07-14,42,0,7,74,25,108,181,1,2,0,0
